date,amount,description,balance,account_id,salary_flag
2025-06-01,1468.06,NEFT REFUND,11468.06,ACC1001,0
2025-06-01,-871.62,ZOMATO,10596.45,ACC1001,0
2025-06-02,-975.52,GROCERY DMART,9620.92,ACC1001,0
2025-06-03,42074.61,NEFT SALARY ACME,51695.53,ACC1001,1
2025-06-03,-1173.73,ZOMATO,50521.80,ACC1001,0
2025-06-05,3295.24,UPI FROM PRIYA,53817.04,ACC1001,0
2025-06-07,-292.29,ZOMATO,53524.75,ACC1001,0
2025-06-09,-1383.68,FUEL IOCL,52141.07,ACC1001,0
2025-06-12,5999.73,NEFT REFUND,58140.80,ACC1001,0
2025-06-12,3087.31,UPI FROM KUMAR,61228.10,ACC1001,0
2025-06-13,-2582.23,GROCERY DMART,58645.88,ACC1001,0
2025-06-15,5317.66,CASHBACK CREDIT,63963.54,ACC1001,0
2025-06-15,-3634.29,FLIPKART,60329.25,ACC1001,0
2025-06-17,-3072.64,MEDICAL STORE,57256.61,ACC1001,0
2025-06-17,9235.65,UPI FROM SHARMA,66492.25,ACC1001,0
2025-06-18,"-₹1,529",FUEL IOCL,64963.32,ACC1001,0
2025-06-18,-1120.42,ZOMATO,63842.90,ACC1001,0
2025-06-19,-1189.93,AMAZON PRIME,62652.97,ACC1001,0
2025-06-21,-1649.27,NETFLIX,61003.70,ACC1001,0
2025-06-21,-2000.00,ATM WITHDRAWAL,59003.70,ACC1001,0
2025-06-21,7383.56,CASHBACK CREDIT,66387.26,ACC1001,0
2025-06-22,"₹9,815",CASHBACK CREDIT,76202.11,ACC1001,0
2025-06-24,1970.57,UPI FROM SHARMA,78172.68,ACC1001,0
2025-06-24,-2758.79,UPI TO RAMESH,75413.89,ACC1001,0
2025-06-25,-14899.31,CREDIT CARD BILL,60514.58,ACC1001,0
2025-06-26,7541.69,UPI FROM KUMAR,68056.27,ACC1001,0
2025-06-27,4518.57,CASHBACK CREDIT,72574.84,ACC1001,0
2025-06-28,"₹4,618",UPI FROM PRIYA,77193.32,ACC1001,0
2025-06-29,"-₹2,962",SHOPPING MALL,74231.33,ACC1001,0
2025-06-29,7889.02,UPI FROM PRIYA,82120.35,ACC1001,0
2025-06-29,-1265.52,GROCERY BIGBAZAAR,80854.84,ACC1001,0
2025-06-30,-252.34,CAFE COFFEE DAY,80602.50,ACC1001,0
2025-07-02,"-₹1,131",STARBUCKS,79471.45,ACC1001,0
2025-07-03,-14440.90,INSURANCE PREMIUM,65030.55,ACC1001,0
2025-07-03,-2505.31,SHOPPING MALL,62525.25,ACC1001,0
2025-07-06,7894.99,UPI FROM PRIYA,70420.24,ACC1001,0
2025-07-06,-4475.83,UPI TO RAMESH,65944.41,ACC1001,0
2025-07-07,5196.58,REVERSAL,71140.99,ACC1001,0
2025-07-10,-2661.63,GROCERY DMART,68479.37,ACC1001,0
2025-07-10,-2920.88,SHOPPING MALL,65558.49,ACC1001,0
2025-07-10,"-₹2,377",SHOPPING MALL,63181.41,ACC1001,0
2025-07-11,-999.09,MOBILE RECHARGE,62182.32,ACC1001,0
2025-07-11,-2737.28,MOBILE RECHARGE,59445.04,ACC1001,0
2025-07-11,4268.22,REVERSAL,63713.26,ACC1001,0
2025-07-12,-1129.38,UPI TO SHARMA,62583.88,ACC1001,0
2025-07-12,-349.94,ZOMATO,62233.94,ACC1001,0
2025-07-12,-991.02,UPI TO RAMESH,61242.92,ACC1001,0
2025-07-13,-463.00,AMAZON PRIME,60779.92,ACC1001,0
2025-07-14,-1708.48,ELECTRICITY BILL,59071.44,ACC1001,0
2025-07-16,-₹438,UPI TO SHARMA,58633.55,ACC1001,0
2025-07-20,-3304.48,BOOK STORE,55329.07,ACC1001,0
